Vendor Number,Category Name,Date,Sale (Dollars)
511,STRAIGHT BOURBON WHISKIES,01/23/2023,585.24
772,FLAVORED GIN,04/24/2023,67.50
421,TEMPORARY & SPECIALTY PACKAGES,05/12/2023,957.75
065,AMERICAN CORDIALS & LIQUEURS,09/05/2023,1897.88
125,BLENDED WHISKIES,06/22/2023,584.06
772,FLAVORED GIN,05/15/2023,45.00
259,WHISKEY LIQUEUR,08/03/2023,152.46
777,AMERICAN VODKAS,06/05/2023,8478.44
240,IMPORTED VODKAS,06/20/2023,395.04
777,WHITE RUM,07/21/2023,254.99
395,MIXTO TEQUILA,07/17/2023,26085.10
368,WHISKEY LIQUEUR,10/09/2023,559.14
125,STRAIGHT BOURBON WHISKIES,07/25/2023,3883.78
785,GOLD RUM,04/17/2023,15.75
368,BLENDED WHISKIES,10/05/2023,416.66
755,IRISH WHISKIES,10/02/2023,24.00
205,AMERICAN BRANDIES,05/15/2023,3369.27
434,STRAIGHT BOURBON WHISKIES,01/19/2023,6556.50
536,BLENDED WHISKIES,01/26/2023,225.00
619,GOLD RUM,07/25/2023,345.00
654,AMERICAN FLAVORED VODKA,01/17/2023,364.50
370,BLENDED WHISKIES,10/23/2023,3156.50
421,COFFEE LIQUEURS,02/22/2023,301.42
035,IRISH WHISKIES,10/11/2023,167.94
478,WHISKEY LIQUEUR,08/21/2023,427.20
380,COFFEE LIQUEURS,04/24/2023,569.76
421,IMPORTED FLAVORED VODKA,08/14/2023,21.00
368,IMPORTED DRY GINS,01/27/2023,629.76
205,SINGLE MALT SCOTCH,04/25/2023,52.50
035,IRISH WHISKIES,05/16/2023,83.97
391,STRAIGHT BOURBON WHISKIES,06/29/2023,33.90
293,IMPORTED DISTILLED SPIRITS SPECIALTY,03/31/2023,104.88
035,IMPORTED CORDIALS & LIQUEURS,01/03/2023,6025.80
402,AMERICAN VODKAS,03/31/2023,18.81
803,AMERICAN VODKAS,05/02/2023,18792.00
566,AMERICAN VODKAS,08/07/2023,2600.55
260,IMPORTED VODKAS,03/08/2023,5459.20
